Região,Área,Pagamento,Opinião,Renda,Idade
Baependinha,Educacional,Financiamento bancário,Muito satisfeito,2.42,34
Aratibutantã,Engenharia e Produção,Incentivos federais,Indiferente,3.16,34
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.63,32
Baependinha,Engenharia e Produção,Recursos próprios,Satisfeito,1.93,30
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.08,22
Aratibutantã,Jurídica e Contábil,Incenti ,Insatisfeito,3.91,34
Aratibutantã,Engenharia e Produção,Auxílio de familiares,Indiferente,2.04,34
Paranapitanga,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,2.95,38
Baependinha,Engenharia e Produção,Bolsas de estudo,Satisfeito,1.55,35
Aratibutantã,Jurídica e Contábil,Bolsas de estudo,Indiferente,1.77,32
Baependinha,Administração,Financiamento bancário,Satisfeito,1.71,28
Baependinha,Engenharia e Produção,Recursos próprios,Indiferente,1.81,37
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.31,31
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.26,31
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.12,26
Aratibutantã,Engenharia e Produção,Recursos próprios,Indiferente,2.73,37
Aratibutantã,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,3.86,44
Itamaracanã,Engenharia e Produção,Financiamento bancário,Satisfeito,1.25,27
Baependinha,Jurídica e Contábil,Incentivos federais,Insatisfeito,2.88,32
Aratibutantã,Engenharia e Produção,Recursos próprios,Satisfeito,2.7,34
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.99,38
Aratibutantã,Administração,Financiamento bancário,Satisfeito,1.86,28
Baependinha,Administração,Bolsas de estudo,Satisfeito,1.71,32
Baependinha,Educacional,Financiamento bancário,Muito satisfeito,1.21,29
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.45,26
Baependinha,Engenharia e Produção,Financiamento bancário,Indiferente,2.25,36
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.01,18
Baependinha,Educacional,Financiamento bancário,Muito s ,1.59,23
Baependinha,Engenharia e Produção,Auxílio de familiares,Muito satisfeito,1.19,27
Aratibutantã,Engenharia e Produção,Incentivos federais,Insatisfeito,2.34,37
Aratibutantã,Computação e Matemática,Auxílio de familiares,Indiferente,1.96,38
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.65,32
Baependinha,Computação e Matemática,Financiamento bancário,Indiferente,2.48,38
Aratibutantã,Engenharia e Produção,Incentivos federais,Indiferente,2.4,34
Baependinha,Educacional,Recursos próprios,Muito satisfeito,1.58,27
Baependinha,Administração,Financiamento bancário,Satisfeito,1.28,29
Jaquereçaba,Engenharia e Produção,Bolsas de estudo,Insatisfeito,2.27,32
Jaquereçaba,Engenharia e Produção,Incentivos federais,Insatisfeito,3.7,34
Aratibutantã,Engenharia e Produção,Incentivos federais,Insatisfeito,3.28,31
 ,Educacional,Auxílio de familiares,Muito satisfeito,1.32,36
Baependinha,Jurídica e Contábil,Incentivos federais,Muito in ,3.02,36
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfei ,1.69,34
Aratibutantã,Engenharia e Produção,Incentivos federais,Indiferente,2.93,36
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.17,24
Baependinha,Humanidades,Incentivos federais,Insatisfeito,2.73,34
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,5,36
Baependinha,Jurídi ,Incentivos federais,Insatisfeito,3.28,42
Baependinha,Jurídica e Contábil,Incentivos federais,Insatisfeito,2.88,37
Jaquereçaba,Jurídica e Contábil, ,Insatisf ,3.86,37
Aratibutantã,Engenharia e Produção,Financiamento bancário,Satisfeito,2.01,26
Aratibutantã,Jurídica e Contábil,Auxílio de familiares,Indiferente,2.13,35
Baepen ,Administração,Incentivos federais,Indiferente,1.76,35
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.03,30
Itamaracanã,Administração,Financiamento bancário,Satisfeito,1.38,32
Arati ,Jurídica e Contábil,Incentivos federais,Insatisfeito,2.27,33
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.19,30
Aratibutantã,Admini ,Auxílio de familiares,Insatisfeito,3.2,34
Aratibutantã,Engenharia e Produção,Financiamento bancário,Indiferente,2.27,30
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,3.94,33
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.34,30
Baependinha,Jurídic ,Recursos próprios,Insatisfeito,3.65,31
Aratibutantã,Engenh ,Incentivos federais,Indiferente,2.12,34
Aratibutantã,Engenharia e Produção,Incentivos federais,Indiferente,1.9,26
Baependinha,Educacional,Financiamento bancário,Muito satisfeito,1.45,34
Aratibutantã,Jurídica e Contábil,Incentivos federais,Indiferente,3.16,40
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.14,28
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.22,34
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,2.7,42
Baependinha,Educacional,Financiamento bancário,Muito satisfeito,1.15,34
Aratibutantã,Engenharia e Produção,Financiamento bancário,Indiferente,2.29,33
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.21,29
Baependinha,Educacional,Financiamento bancário,Satisfeito,1.74,31
Itamaracanã,Computação e Matemática,Recursos próprios,Muito satisfeito,1.16,34
Aratibutantã,Jurídica e Contábil,Recursos próprios,Indiferente,2.3,35
Baependinha,Educacional,Financiamento bancário,Satisfeito,1.25,30
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.03,24
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.01,25
Jaquereçaba,Engenharia e Produção,Auxílio de familiares,Satisfeito,2.79,30
Baependinha,Jurídica e Contábil,Auxílio de familiares,Satisfeito,2.42,37
Aratibutantã,Computação e Matemática,Recursos próprios,Indiferente,4.16,35
Baependinha,Administração,Financiamento bancário,Muito sa ,1.56,27
Aratibutantã,Administração,Incentivos federais,Insatisfeito,2.54,35
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.34,33
Jaquereçaba,Jurídica e Contábil,Incentiv ,Insatisfeito,3.58,35
Paranapitanga,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,7.17,38
Baependinha,Humanid ,Financiamento bancário,Muito satisfeito,1.07,21
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.03,24
Itamaracanã,Engenharia e Produção,Recursos próprios,Muito satisfeito,1.11,28
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.07,30
Jaquereçaba,Jurídica e Contábil,Recursos próprios,Muito insatisfeito,4.06,29
Aratibutantã,Computação e Matemática,Incentivos federais,Satisfeito,1.78,37
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.27,31
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.58,31
Baependinha,Administração,Auxílio de familiares,Satisfeito,2,36
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.14,31
Baependinha,Educacional,Recursos próprios,Satisfeito,1.39,30
Baependinha,Jurídica e Contábil,Financiamento bancário,Muito satisfeito,1.63,30
Aratibutantã,Engenharia e Produção,Recursos próprios,Indiferente,2.7,33
Aratibutantã,Jurídica e Contábil,Incentivos federais,Indiferente,2.57,35
Itamaracanã,Educaci ,Financiamento bancário,Muito satisfeito,1,20
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.12,30
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.27,32
Aratibutantã,Humanidades,Financiamento bancário,Muito sa ,1.84,28
Baependinha,Jurídica e Contábil,Auxílio de familiares,Indiferente,2.42,34
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.17,35
Baependinha,Jurídica e Contábil,Incentivos federais,Indiferente,2.17,38
Baependinha,Educacional,Financi ,Muito satisfeito,1.1,29
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,2.29,38
Baependinha,Engenharia e Produção,Recursos próprios,Satisfeito,1.97,34
Baependinha,Administração,Auxílio de familiares,Indiferente,1.68,19
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.82,29
Jaquereçaba,Engenharia e Produção,Incentivos federais,Muito insatisfeito,5.74,40
Aratibutantã,Engenharia e Produção,Incentivos federais,Indiferente,3.06,37
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.43,30
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,4.62,36
Baependinha,Computação e Matemática,Incentivos federais,Indiferente,2.62,30
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.11,32
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.15,26
Aratibutantã,Jurídica e Contábil,Bolsas de estudo,Insatisfeito,4.27,35
Baependinha,Engenharia e Produção,Recursos próprios,Indiferente,2.77,30
Jaquereçaba,Engenharia e Produção,Incentivos federais,Insatisfeito,4.68,38
Aratibutantã,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,5.74,42
Baependinha,Humanidades,Recursos próprios,Satisfeito,1.43,27
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.07,26
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.05,25
Baependinha,Jurídica e Contábil,Incentivos federais,Insatisfeito,2.72,43
Aratibutantã,Administração,Incentivos federais,Insatisfeito,3,38
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.3,28
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.52,28
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.37,24
Aratibutantã,Jurídica e Contábil,Incentivos federais,Satisfeito,2.93,37
Baependinha,Jurídica e Contábil,Incentivos federais,Indiferente,2.17,33
Aratibutantã,Engenharia e Produção,Incentivos federais,Muito insatisfeito,4.94,39
Baependinha,Engenharia e Produção,Incentivos federais,Indiferente,1.45,31
Baependinha,Jurídica e Contábil,Recursos próprios,Satisfeito,2.12,29
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.6,33
Itama ,Educacional,Financiamento bancário,Muito satisfeito,1.03,28
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.19,32
Aratibutantã,Engenharia e Produção,Recursos próprios,Muito satisfeito,1.54,34
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.1,25
Aratibutantã,Engenharia e Produção,Incentivos federais,Insatisf ,4.48,43
Itamaracanã,Humanidades,Financi ,Muito satisfeito,1.2,33
Itamaracanã,Computação e Matemática,Financiamento bancário,Muito satisfeito,1.15,27
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.26,28
Baependinha,Jurídica e Contábil,Recursos próprios,Satisfeito,1.31,31
Aratibutantã,Engenharia e Produção,Bolsas de estudo,Indiferente,2.54,32
Aratibutantã,Educacional,Bolsas de estudo,Satisfeito,1.92,30
Baependinha,Humanidades,Financiamento bancário,Satisfeito,1.39,28
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.27,30
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.25,32
Baependinha,Jurídica e Contábil,Auxílio de familiares,Satisfeito,2.21,37
Aratibutantã,Computação e Matemática,Financiamento bancário,Satisfeito,1.45,28
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.1,22
Aratibutantã,Engenharia e Produção,Financiamento bancário,Indiferente,1.91,28
Aratibutantã,Engenharia e Produção,Recursos próprios,Insatisfeito,2.67,32
Baependinha,Computação e Matemática,Financiamento bancário,Muito satisfeito,1.45,28
Aratibutantã,Engenharia e Produção,Recursos próprios,Satisfeito,1.6,29
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.14,28
Baependinha,Engenharia e Produção,Incentivos federais,Insatisfeito,2.91,28
Itamaracanã,Computação e Matemática,Financiamento bancário,Muito satisfeito,1.04,27
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.06,25
Baependinha,Engenharia e Produção,Recursos próprios,Muito satisfeito,1.27,26
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.39,32
Baependinha,Engenharia e Produção,Bolsas de estudo,Satisfeito,2.27,32
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.08,19
Baepe ,Administração,Financiamento bancário,Indiferente,2.34,32
Aratibutantã,Jurídica e Contábil,Incentivos federais,Indiferente,2.54,33
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.02,25
Baependinha,Engenharia e Produção,Financiamento bancário,Indiferente,1.82,26
Aratibutantã, ,Bolsas de estudo,Indiferente,2.79,40
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.16,24
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.17,26
Aratibutantã,Engenharia e Produção,Financiamento bancário,Insatisfeito,1.93,34
Paranapitanga,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,5.54,37
Aratibutantã,Engenharia e Produção,Recursos próprios,Indiferente,2.51,28
Aratibutantã,Engenharia e Produção,Incentivos federais,Insatisfeito,3.32,34
Baependinha,Jurídica e Contábil,Incentivos federais,Insatisfeito,2.6,45
Aratibutantã,Jurídica e Contábil,Auxílio de familiares,Indiferente,1.57,29
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.28,37
Baependinha,Engenharia e Produção,Recursos próprios,Indiferente,3.61,33
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.45,29
Baependinha,Jurídica e Contábil,Auxílio de familiares,Satisfeito,1.72,32
Itamaracanã,Jurídica e Contábil,Financiamento bancário,Muito satisfeito,1.17,21
Baependinha,Jurídica e Contábil,Incentivos federais, ,1.43,34
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.2,25
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.02,21
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.5,28
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.02,24
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.12,22
Baependi ,Humanidades,Financiamento bancário,Satisfeito,1.28,32
Itamaracanã,Computação e Matemática,Financiamento bancário,Satisfeito,1.61,26
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.53,32
Baependinha,Humanidades,Recursos próprios,Indiferente,1.56,34
Baependinha,Administração,Bolsas de estudo,Insatisfeito,2.8,36
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,5.34,38
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.83,31
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Indiferente,4.51,64
Baependinha,Engenharia e Produção,Recursos próprios,Muito satisfeito,1.17,26
Itamaracanã,Administração,Finan ,Muito satisfeito,1.03,26
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,2.17,35
Baependinha,Engenharia e Produção,Incentivos federais,Indiferente,2.88,35
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.09,30
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.03,21
Aratibutantã,Jurídica e Contábil,Financiamento bancário,Indiferente,2.31,29
Baependinha,Humanidades,Recursos próprios,Muito satisfeito,1.57,35
Baependinha,Jurídica e Contábil,Recursos próprios,Satisfeito, ,33
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,4.65,41
Aratibutantã,Computação e Matemática,Incentivos federais,Indiferente,2.27,30
Baependinha,Computação e Matemática,Auxílio de familiares,Satisfeito,1.83,33
Baependinha,Jurídica e Contábil,Incentivos federais,Indiferente,2.63,36
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,4.51,38
Baependinha,Computação e Matemática,Financiamento bancário,Satisfeito,1.22,30
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,4.68,29
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.15,32
Aratibutantã,Engenharia e Produção,Incentivos federais,Indiferente,3.22,35
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.61,27
Aratibutantã,Humanidades,Recursos próprios,Indiferente,2.89,32
Aratibutantã,Jurídica e Contábil,Recursos próprios,Muito insatisfeito,5.8,39
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,3.54,34
Baependinha,Computação e Matemática,Financiamento bancário,Muito satisfeito,1.36,29
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.04,20
Baependinha,Jurídica e Contábil,Financiamento bancário,Muito satisfeito,1.52,24
Aratibutantã,Engenharia e Produção,Incentivos federais,Insatisfeito,3.12,33
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.6,30
Baependinha,Engenharia e Produção,Recursos próprios,Satisfeito,1.72,32
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.25,27
Baependinha,Engenharia e Produção,Incentivos federais,Satisfeito,1.79,34
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.34,30
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,7.98,41
Baependinha,Educacional,Financiamento bancário,Satisfeito,1.58,35
Baependinha,Engenharia e Produção,Auxílio de familiares,Indiferente,1.44,31
Baependinha,Administração,Financiamento bancário,Satisfeito,1.61,30
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,2.15,33
Baependinha,Computação e Matemática,Incentivos federais,Indiferente,1.93,28
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,4.06,37
Aratibutantã,Engenharia e Produção,Incentivos federais,Satisfeito,1.87,37
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.64,31
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,2.88,32
Aratibutantã,Administração,Financiamento bancário,Satisfeito,1.43,29
Baependinha,Engenharia e Produção,Incentivos federais,Indiferente,2.4,34
Baependinha,Administração,Incentivos federais,Indiferente,1.96,39
Baependinha,Administração,Recursos próprios,Satisfeito,1.51,35
Jaquereçaba,Jurídica e Contábil,Recursos próprios,Insatisfeito,3.02,30
Aratibutantã,Engenharia e Produção,Recursos próprios,Satisfeito,1.93,28
Baependinha,Educacional,Bolsas de estudo,Muito satisfeito,1.55,32
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.2,29
Paranapitanga,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,7.49,46
Aratibutantã,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,2.99,35
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.24,21
Itamaracanã,Engenharia e Produção,Recursos próprios,Muito satisfeito,1.86,35
Aratibutantã,Engenharia e Produção,Recursos próprios,Indiferente,2.17,31
Aratibutantã,Administração,Recursos próprios,Satisfeito,2.25,32
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.79,40
Aratibutantã,Engenharia e Produção,Bolsas de estudo,Muito insatisfeito,4.19,33
Aratibutantã,Jurídica e Contábil,Incentivos federais,Indiferente,2.33,33
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.45,27
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.02,23
Itamaracanã,Computação e Matemática,Financiamento bancário,Muito satisfeito,1.15,33
Baependinha,Engenharia e Produção,Incentivos federais,Indiferente,2.88,35
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.11,27
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.5,32
Baependinha,Computação e Matemática,Bolsas de estudo,Satisfeito,1.63,36
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.59,30
Baependinha,Engenharia e Produção,Bolsas de estudo,Satisfeito,2.08,27
Baependinha,Engenharia e Produção,Bolsas de estudo,Indiferente,2.7,26
Aratibutantã,Engenharia e Produção,Financiamento bancário,Satisfe ,8.56,28
Jaquereçaba,Engenharia e Produção,Bolsas de estudo,Indiferente,2.37,32
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.5,33
Aratibutantã,Administração,Bolsas de estudo,Indiferente,2.79,31
Jaquereçaba,Jurídica e Contábil,Bolsas de estudo,Insatisfeito,4.4,37
Baependinha,Educacional,Financiamento bancário,Muito satisfeito,1.36,31
Jaquer ,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,5.25,43
Itamaracanã,Engenharia e Produção,Financiamento bancário,Satisfeito,1.31,27
Aratibutantã,Jurídica e Contábil,Recursos próprios,Indiferente,2.45,39
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.29,30
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,4.94,38
Baependinha,Jurídica e Contábil,Incentivos federais,Satisfeito,1.57,31
Baependinha,Engenharia e Produção,Auxílio de familiares,Muito satisfeito,1.53,29
Jaquereçaba,Engenha ,Recursos próprios,Insatisfeito,2.51,39
Itamaracanã,Jurídica e Contábil,Financiamento bancário,Muito satisfeito,1.11,24
Baependinha,Humanidades,Financiamento bancário,Satisfeito,1.19,26
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.12,26
Baependinha,Jurídica e Contábil,Auxílio de familiares,Indiferente,2.1,31
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.32,26
Aratibutantã,Jurídica e Contábil,Recursos próprios,Insatisfeito,2.65,37
Baependinha,Administração,Bolsas de estudo,Indiferente,3.68,36
Aratibutantã,Computação e Matemática,Auxílio de familiares,Satisfeito,2.67,36
Baependinha,Humanidades,Recursos próprios,Satisfeito,1.67,37
Baependinha,Humanidades,Auxílio de familiares,Muito satisfeito,1.23,23
Baependinha,Engenharia e Produção,Incentivos federais,Satisfeito,1.61,32
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,2.73,31
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.15,28
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.29,27
Itamaracanã,Humanid ,Financiamento bancário,Muito satisfeito, ,36
Jaquereçaba,Engenharia e Produção,Incentivos federais,Insatisfeito,4.77,41
Baependinha,Engenharia e Produção,Bolsas de estudo,Muito satisfeito,1.53,27
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.29,24
Baependinha,Administração,Recursos próprios,Indiferente,2.08,33
Baependinha,Computação e Matemática,Bolsas de estudo,Satisfeito,1.92,35
Baependinha,Jurídica e Contábil,Incentivos federais,Indiferente,2.55,33
Arati ,Computação e Matemática,Recursos próprios,Muito satisfeito,1.59,28
Aratibutantã,Engenharia e Produção,Incentivos federais,Indiferente,2.02,35
Aratibutantã,Engenharia e Produção,Auxílio de familiares,Insatisfeito,2.75,33
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.29,30
Baependinha,Computação e Matemática,Recursos próprios,Muito satisfeito,1.34,33
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.05,28
 ,Engenharia e Produção,Financiamento bancário,Satisfeito,2.36,33
Baependinha,Jurídica e Contábil,Incentivos federais,Muito satisfeito,1.79,35
Aratibutantã,Computação e Matemática,Recursos próprios,Muito satisfeito,1.51,33
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.05,25
Baependinha,Engenharia e Produção,Incentivos federais,Indiferente,2.04,36
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.52,26
Baependinha,Humanidades,Financiamento bancário,Satisfeito,1.59,31
Itamaracanã,Educacional,Financ ,Muito satisfeito,1.06,26
Aratibutantã,Engenharia e Produção,Bolsas de estudo,Satisfeito,1.82,30
Baependinha,Administração,Bolsas de estudo,Indiferente,2.34,38
Baependinha,Engenharia e Produção,Incentivos federais,Indiferente,1.5,33
Aratibutantã,Engenharia e Produção,Recursos próprios,Indiferente,1.98,29
Itamar ,Humanidades,Financiamento bancário,Muito satisfeito,1.16,28
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.01,25
Baependinha,Engenharia e Produção,Recursos próprios,Muito satisfeito,2.04,32
Aratibutantã,Jurídica e Contábil,Financiamento bancário,Muito satisfeito,1.42,27
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.34,27
Baependinha,Jurídica e Contábil,Financiamento bancário,Indifer ,2.01,32
Baependinha,Administração,Recursos próprios,Muito satisfeito,1.72,35
Paranapitanga,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,6.29,38
Aratibutantã,Engenharia e Produção,Financiamento bancário,Satisfeito,1.56,31
Aratibutantã,Engenharia e Produção,Incentivos federais,Insatisfeito,3.26,35
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.03,29
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.29,28
Aratibutantã,Engenharia e Produção,Recursos próprios,Indiferente,1.75,24
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.07,27
Aratibutantã,Administração,Financiamento bancário,Indiferente,2.42,33
Baependinha,Administração,Recurs ,Satisfeito,1.89,38
Aratibutantã,Administração,Financiamento bancário,Indiferente,1.76,26
Aratibutantã,Jurídica e Contábil,Bolsas de estudo,Insatisfeito,2.65,30
Paranapitanga,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,7.91,44
Baependinha,Humanidades,Auxílio de familiares,Satisfeito,1.62,30
Paranapitanga,Jurídica e Contábil,Incentivos federais,Insatisfeito,5.67,38
Baependinha,Jurídica e Contábil,Incentivos federais,Satisfeito,2.03,32
Aratibutantã,Jurídica e Contábil,Incentivos federais,Indiferente,2.03,34
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.1,27
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.4,32
Aratibutantã,Jurídica e Contábil,Recursos próprios,Indiferente,2.86,30
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.56,24
Itamaracanã,Administração,Recursos próprios,Satisfeito,1.62,34
Aratibutantã,Jurídic ,Incentivos federais,Insatisfeito,2.3,39
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.11,32
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.1,28
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.03,22
Aratibutantã,Jurídica e Contábil,Incentivos federais,Satisfeito,2.26,31
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.37,66
Aratibut ,Engenharia e Produção,Incentivos federais,Insatisfeito,3.89,34
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,4.71,37
Baependinha,Engenharia e Produção,Recursos próprios,Satisfeito,1.86,33
Baependinha,Computação e Matemática,Recursos próprios,Muito satisfeito,1.38,27
Baependinha,Administração,Financiamento bancário,Satisfeito,1.75,30
Aratibutantã,Engenharia e Produção,Incentivos federais,Insatisfeito,2.43,36
Baependinha,Engenharia e Produção,Auxílio de familiares,Satisfeito,1.62,30
Baependinha,Engenharia e Produção,Recursos próprios,Muito satisfeito,1.84,32
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,4.22,38
Aratibutantã,Jurídica e Contábil,Recursos próprios,Indiferente,2.51,33
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,2.55,31
Baependinha,Engenharia e Produção,Auxílio de familiares,Satisfeito,1.63,32
 ,Administração,Financiamento bancário,Muito satisfeito,1.29,29
Baependinha,Humanidades,Financiamento bancário,Satisfeito,2.1,26
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.07,27
Baependinha,Jurídica e Contábil,Financiamento bancário,Insatisfeito,2.91,37
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,7.26,41
